voters,mean,std,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
3.0,Lower,Lower,0.918,0.918,1.0,0.918,1.0
3.0,Lower,Medium,0.863,0.863,1.0,0.863,1.0
3.0,Lower,Upper,0.855,0.855,1.0,0.855,1.0
3.0,Medium,Lower,0.999,0.999,1.0,0.999,1.0
3.0,Medium,Medium,0.978,0.978,1.0,0.978,1.0
3.0,Medium,Upper,0.943,0.943,1.0,0.943,1.0
3.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
3.0,Upper,Medium,0.998,0.998,1.0,0.998,1.0
3.0,Upper,Upper,0.988,0.988,1.0,0.988,1.0
5.0,Lower,Lower,0.888,0.956,0.933,0.891,0.997
5.0,Lower,Medium,0.849,0.946,0.903,0.854,0.995
5.0,Lower,Upper,0.843,0.941,0.902,0.852,0.991
5.0,Medium,Lower,0.999,0.999,1.0,0.999,1.0
5.0,Medium,Medium,0.967,0.981,0.986,0.967,1.0
5.0,Medium,Upper,0.943,0.976,0.967,0.943,1.0
5.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
5.0,Upper,Medium,0.998,0.999,0.999,0.998,1.0
5.0,Upper,Upper,0.994,0.997,0.997,0.994,1.0
7.0,Lower,Lower,0.882,0.984,0.898,0.89,0.992
7.0,Lower,Medium,0.851,0.983,0.867,0.862,0.989
7.0,Lower,Upper,0.85,0.986,0.865,0.867,0.983
7.0,Medium,Lower,0.997,0.999,0.998,0.997,1.0
7.0,Medium,Medium,0.972,0.994,0.978,0.972,1.0
7.0,Medium,Upper,0.953,0.993,0.96,0.954,0.998
7.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
7.0,Upper,Medium,0.999,1.0,0.999,0.999,1.0
7.0,Upper,Upper,0.997,0.999,0.998,0.997,1.0
9.0,Lower,Lower,0.883,0.997,0.886,0.896,0.987
9.0,Lower,Medium,0.851,0.997,0.854,0.872,0.979
9.0,Lower,Upper,0.857,0.996,0.862,0.879,0.978
9.0,Medium,Lower,0.996,0.999,0.997,0.996,1.0
9.0,Medium,Medium,0.978,0.999,0.979,0.979,0.999
9.0,Medium,Upper,0.968,0.998,0.97,0.971,0.997
9.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
9.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
9.0,Upper,Upper,0.999,1.0,0.999,0.999,1.0
11.0,Lower,Lower,0.878,0.999,0.879,0.896,0.983
11.0,Lower,Medium,0.852,1.0,0.853,0.877,0.976
11.0,Lower,Upper,0.871,0.999,0.872,0.896,0.974
11.0,Medium,Lower,0.997,1.0,0.997,0.997,1.0
11.0,Medium,Medium,0.982,1.0,0.982,0.983,0.999
11.0,Medium,Upper,0.973,1.0,0.973,0.975,0.997
11.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
11.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
11.0,Upper,Upper,0.999,1.0,0.999,0.999,1.0
21.0,Lower,Lower,0.874,1.0,0.874,0.905,0.968
21.0,Lower,Medium,0.873,1.0,0.873,0.912,0.961
21.0,Lower,Upper,0.888,1.0,0.888,0.923,0.964
21.0,Medium,Lower,0.998,1.0,0.998,0.998,1.0
21.0,Medium,Medium,0.994,1.0,0.994,0.995,0.999
21.0,Medium,Upper,0.992,1.0,0.992,0.993,0.999
21.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
21.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
21.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
31.0,Lower,Lower,0.888,1.0,0.888,0.928,0.96
31.0,Lower,Medium,0.883,1.0,0.883,0.931,0.952
31.0,Lower,Upper,0.917,1.0,0.917,0.953,0.964
31.0,Medium,Lower,0.999,1.0,0.999,0.999,1.0
31.0,Medium,Medium,0.997,1.0,0.997,0.998,0.999
31.0,Medium,Upper,0.997,1.0,0.997,0.998,0.999
31.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
31.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
31.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
41.0,Lower,Lower,0.885,1.0,0.885,0.93,0.955
41.0,Lower,Medium,0.899,1.0,0.899,0.944,0.955
41.0,Lower,Upper,0.929,1.0,0.929,0.961,0.968
41.0,Medium,Lower,1.0,1.0,1.0,1.0,1.0
41.0,Medium,Medium,0.999,1.0,0.999,1.0,1.0
41.0,Medium,Upper,0.999,1.0,0.999,0.999,1.0
41.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
41.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
41.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
51.0,Lower,Lower,0.893,1.0,0.893,0.94,0.953
51.0,Lower,Medium,0.906,1.0,0.906,0.955,0.952
51.0,Lower,Upper,0.949,1.0,0.949,0.973,0.975
51.0,Medium,Lower,1.0,1.0,1.0,1.0,1.0
51.0,Medium,Medium,1.0,1.0,1.0,1.0,1.0
51.0,Medium,Upper,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
