voters,mean,std,Unnamed: 0,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
11.0,Lower,Lower,10,10.881,inf,10.952,11.591,inf
11.0,Lower,Medium,13,6.046,inf,6.071,7.3,51.752
11.0,Lower,Upper,16,7.024,inf,7.12,9.048,39.679
11.0,Medium,Lower,37,inf,inf,inf,inf,inf
11.0,Medium,Medium,40,119.099,inf,119.307,120.608,inf
11.0,Medium,Upper,43,59.651,inf,60.055,70.872,inf
11.0,Upper,Lower,64,inf,inf,inf,inf,inf
11.0,Upper,Medium,67,inf,inf,inf,inf,inf
11.0,Upper,Upper,70,inf,inf,inf,inf,inf
21.0,Lower,Lower,91,10.23,inf,10.23,12.058,inf
21.0,Lower,Medium,94,7.851,inf,7.851,11.736,28.812
21.0,Lower,Upper,97,9.04,inf,9.084,13.283,33.559
21.0,Medium,Lower,118,inf,inf,inf,inf,inf
21.0,Medium,Medium,121,inf,inf,inf,inf,inf
21.0,Medium,Upper,124,378.579,inf,378.579,390.47,inf
21.0,Upper,Lower,145,inf,inf,inf,inf,inf
21.0,Upper,Medium,148,inf,inf,inf,inf,inf
21.0,Upper,Upper,151,inf,inf,inf,inf,inf
31.0,Lower,Lower,172,12.252,inf,12.252,15.678,inf
31.0,Lower,Medium,175,8.438,inf,8.438,14.374,24.554
31.0,Lower,Upper,178,12.627,inf,12.627,22.651,33.13
31.0,Medium,Lower,199,inf,inf,inf,inf,inf
31.0,Medium,Medium,202,inf,inf,inf,inf,inf
31.0,Medium,Upper,205,inf,inf,inf,inf,inf
31.0,Upper,Lower,226,inf,inf,inf,inf,inf
31.0,Upper,Medium,229,inf,inf,inf,inf,inf
31.0,Upper,Upper,232,inf,inf,inf,inf,inf
41.0,Lower,Lower,253,13.509,inf,13.509,17.68,inf
41.0,Lower,Medium,256,11.797,inf,11.797,19.528,36.978
41.0,Lower,Upper,259,16.934,inf,16.934,29.816,43.592
41.0,Medium,Lower,280,inf,inf,inf,inf,inf
41.0,Medium,Medium,283,inf,inf,inf,inf,inf
41.0,Medium,Upper,286,inf,inf,inf,inf,inf
41.0,Upper,Lower,307,inf,inf,inf,inf,inf
41.0,Upper,Medium,310,inf,inf,inf,inf,inf
41.0,Upper,Upper,313,inf,inf,inf,inf,inf
51.0,Lower,Lower,334,15.305,inf,15.305,22.682,68.905
51.0,Lower,Medium,337,12.801,inf,12.801,28.464,27.019
51.0,Lower,Upper,340,29.185,inf,29.185,52.419,81.192
51.0,Medium,Lower,361,inf,inf,inf,inf,inf
51.0,Medium,Medium,364,inf,inf,inf,inf,inf
51.0,Medium,Upper,367,inf,inf,inf,inf,inf
51.0,Upper,Lower,388,inf,inf,inf,inf,inf
51.0,Upper,Medium,391,inf,inf,inf,inf,inf
51.0,Upper,Upper,394,inf,inf,inf,inf,inf
