voters,mean,std,Unnamed: 0,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct
11.0,Lower,Lower,10,2.129,2.034,1.507,2.041,2.116
11.0,Lower,Medium,13,2.985,2.542,2.035,2.548,2.95
11.0,Lower,Upper,16,4.831,3.709,3.05,3.735,4.531
11.0,Medium,Lower,37,47.968,45.2,4.042,45.337,47.968
11.0,Medium,Medium,40,57.395,55.357,7.041,55.39,57.872
11.0,Medium,Upper,43,59.278,39.318,10.561,39.151,58.053
11.0,Upper,Lower,64,inf,inf,123.186,inf,inf
11.0,Upper,Medium,67,inf,inf,73.506,inf,inf
11.0,Upper,Upper,70,inf,inf,87.944,inf,inf
21.0,Lower,Lower,91,3.176,2.892,1.65,2.892,3.139
21.0,Lower,Medium,94,5.168,4.067,2.389,4.067,4.868
21.0,Lower,Upper,97,10.419,6.376,3.592,6.397,9.018
21.0,Medium,Lower,118,289.512,216.436,4.462,216.436,289.512
21.0,Medium,Medium,121,455.065,inf,8.487,inf,445.409
21.0,Medium,Upper,124,inf,327.586,17.288,327.586,inf
21.0,Upper,Lower,145,inf,inf,243.201,inf,inf
21.0,Upper,Medium,148,inf,inf,inf,inf,inf
21.0,Upper,Upper,151,inf,inf,105.701,inf,inf
31.0,Lower,Lower,172,4.194,3.777,1.593,3.777,4.12
31.0,Lower,Medium,175,8.199,5.382,2.487,5.382,6.965
31.0,Lower,Upper,178,20.956,9.571,4.134,9.571,14.363
31.0,Medium,Lower,199,inf,inf,4.565,inf,inf
31.0,Medium,Medium,202,inf,inf,9.797,inf,inf
31.0,Medium,Upper,205,inf,inf,21.258,inf,inf
31.0,Upper,Lower,226,inf,inf,inf,inf,inf
31.0,Upper,Medium,229,inf,inf,inf,inf,inf
31.0,Upper,Upper,232,inf,inf,204.435,inf,inf
41.0,Lower,Lower,253,5.457,4.737,1.607,4.737,5.297
41.0,Lower,Medium,256,10.609,7.586,2.472,7.586,9.961
41.0,Lower,Upper,259,43.202,14.138,4.338,14.138,25.569
41.0,Medium,Lower,280,inf,inf,4.586,inf,inf
41.0,Medium,Medium,283,inf,inf,10.569,inf,inf
41.0,Medium,Upper,286,inf,inf,25.55,inf,inf
41.0,Upper,Lower,307,inf,inf,337.653,inf,inf
41.0,Upper,Medium,310,inf,inf,inf,inf,inf
41.0,Upper,Upper,313,inf,inf,231.753,inf,inf
51.0,Lower,Lower,334,7.068,6.236,1.697,6.236,7.1
51.0,Lower,Medium,337,15.617,9.906,2.564,9.906,12.426
51.0,Lower,Upper,340,64.838,22.819,4.552,22.819,37.048
51.0,Medium,Lower,361,inf,inf,4.598,inf,inf
51.0,Medium,Medium,364,inf,inf,12.967,inf,inf
51.0,Medium,Upper,367,inf,inf,30.173,inf,inf
51.0,Upper,Lower,388,inf,inf,inf,inf,inf
51.0,Upper,Medium,391,inf,inf,inf,inf,inf
51.0,Upper,Upper,394,inf,inf,345.737,inf,inf
