voters,mean,std,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct
3.0,Lower,Lower,0.586,0.58,0.571,0.586,0.586
3.0,Lower,Medium,0.625,0.61,0.618,0.625,0.625
3.0,Lower,Upper,0.683,0.665,0.676,0.683,0.683
3.0,Medium,Lower,0.839,0.839,0.775,0.839,0.839
3.0,Medium,Medium,0.847,0.842,0.809,0.847,0.847
3.0,Medium,Upper,0.858,0.841,0.839,0.858,0.858
3.0,Upper,Lower,0.985,0.985,0.96,0.985,0.985
3.0,Upper,Medium,0.981,0.981,0.957,0.981,0.981
3.0,Upper,Upper,0.968,0.962,0.951,0.968,0.968
5.0,Lower,Lower,0.614,0.604,0.588,0.613,0.614
5.0,Lower,Medium,0.67,0.646,0.647,0.658,0.669
5.0,Lower,Upper,0.733,0.691,0.71,0.715,0.733
5.0,Medium,Lower,0.89,0.89,0.79,0.89,0.89
5.0,Medium,Medium,0.9,0.895,0.827,0.899,0.9
5.0,Medium,Upper,0.909,0.89,0.865,0.9,0.909
5.0,Upper,Lower,0.997,0.996,0.968,0.997,0.997
5.0,Upper,Medium,0.996,0.995,0.973,0.995,0.996
5.0,Upper,Upper,0.99,0.987,0.966,0.988,0.99
7.0,Lower,Lower,0.637,0.626,0.6,0.628,0.636
7.0,Lower,Medium,0.709,0.68,0.662,0.685,0.708
7.0,Lower,Upper,0.762,0.725,0.718,0.735,0.762
7.0,Medium,Lower,0.919,0.919,0.788,0.919,0.919
7.0,Medium,Medium,0.934,0.925,0.843,0.928,0.934
7.0,Medium,Upper,0.939,0.923,0.882,0.927,0.939
7.0,Upper,Lower,0.999,0.999,0.974,0.999,0.999
7.0,Upper,Medium,0.998,0.998,0.976,0.998,0.998
7.0,Upper,Upper,0.999,0.997,0.974,0.998,0.999
9.0,Lower,Lower,0.647,0.638,0.592,0.638,0.645
9.0,Lower,Medium,0.721,0.693,0.67,0.695,0.718
9.0,Lower,Upper,0.796,0.758,0.736,0.759,0.79
9.0,Medium,Lower,0.947,0.948,0.796,0.947,0.947
9.0,Medium,Medium,0.953,0.946,0.857,0.947,0.954
9.0,Medium,Upper,0.962,0.947,0.898,0.948,0.961
9.0,Upper,Lower,1.0,1.0,0.973,1.0,1.0
9.0,Upper,Medium,1.0,1.0,0.98,1.0,1.0
9.0,Upper,Upper,0.999,0.999,0.98,0.999,0.999
11.0,Lower,Lower,0.656,0.652,0.595,0.652,0.655
11.0,Lower,Medium,0.741,0.709,0.667,0.709,0.737
11.0,Lower,Upper,0.814,0.772,0.751,0.773,0.809
11.0,Medium,Lower,0.961,0.961,0.8,0.961,0.961
11.0,Medium,Medium,0.967,0.961,0.858,0.961,0.966
11.0,Medium,Upper,0.973,0.957,0.905,0.957,0.972
11.0,Upper,Lower,1.0,1.0,0.978,1.0,1.0
11.0,Upper,Medium,1.0,1.0,0.985,1.0,1.0
11.0,Upper,Upper,1.0,0.999,0.98,0.999,1.0
