voters,mean,std,Unnamed: 0,optimal_correct,majority_correct,expert_correct,compromise_noweights_correct,compromise_weights_correct,compromose_strongmajority_correct
3.0,Lower,Lower,10,1.452,1.419,1.344,1.344,1.452,1.452
3.0,Lower,Medium,13,1.707,1.595,1.656,1.656,1.707,1.707
3.0,Lower,Upper,16,2.181,1.995,2.124,2.124,2.181,2.181
3.0,Medium,Lower,37,5.824,5.822,3.594,3.594,5.824,5.824
3.0,Medium,Medium,40,6.075,5.932,4.515,4.515,6.075,6.075
3.0,Medium,Upper,43,6.651,5.92,5.587,5.587,6.651,6.651
3.0,Upper,Lower,64,inf,inf,56.108,56.108,inf,inf
3.0,Upper,Medium,67,83.484,83.514,25.415,25.415,83.484,83.484
3.0,Upper,Upper,70,35.835,31.101,20.395,20.395,35.835,35.835
5.0,Lower,Lower,91,1.64,1.577,1.451,1.634,1.634,1.64
5.0,Lower,Medium,94,2.087,1.874,1.867,1.972,1.979,2.072
5.0,Lower,Upper,97,2.811,2.28,2.5,2.562,2.567,2.803
5.0,Medium,Lower,118,10.081,10.106,4.025,9.292,10.024,10.081
5.0,Medium,Medium,121,10.85,10.381,5.099,10.742,10.861,10.85
5.0,Medium,Upper,124,12.369,9.471,6.958,10.685,10.736,12.33
5.0,Upper,Lower,145,inf,inf,67.284,inf,inf,inf
5.0,Upper,Medium,148,inf,340.27,46.102,329.467,348.552,inf
5.0,Upper,Upper,151,167.309,95.302,31.15,117.563,116.372,167.309
7.0,Lower,Lower,172,1.872,1.78,1.533,1.801,1.802,1.866
7.0,Lower,Medium,175,2.538,2.185,1.997,2.254,2.254,2.525
7.0,Lower,Upper,178,3.274,2.678,2.569,2.816,2.816,3.271
7.0,Medium,Lower,199,14.007,14.041,3.945,13.755,14.017,14.007
7.0,Medium,Medium,202,19.57,17.298,5.839,18.579,18.575,19.557
7.0,Medium,Upper,205,19.695,15.475,8.067,16.182,16.27,19.83
7.0,Upper,Lower,226,inf,inf,100.865,inf,inf,inf
7.0,Upper,Medium,229,inf,inf,52.625,inf,inf,inf
7.0,Upper,Upper,232,inf,inf,42.656,inf,inf,inf
9.0,Lower,Lower,253,1.954,1.877,1.481,1.882,1.88,1.938
9.0,Lower,Medium,256,2.72,2.372,2.076,2.394,2.394,2.686
9.0,Lower,Upper,259,4.228,3.305,2.892,3.33,3.33,4.044
9.0,Medium,Lower,280,26.447,26.553,4.118,26.281,26.422,26.447
9.0,Medium,Medium,283,35.737,29.299,6.685,29.791,29.428,35.78
9.0,Medium,Upper,286,37.504,25.543,10.088,25.737,25.737,36.254
9.0,Upper,Lower,307,inf,inf,115.126,inf,inf,inf
9.0,Upper,Medium,310,inf,inf,76.974,inf,inf,inf
9.0,Upper,Upper,313,inf,inf,66.684,inf,inf,inf
11.0,Lower,Lower,334,2.095,2.054,1.499,2.053,2.053,2.091
11.0,Lower,Medium,337,3.047,2.561,2.042,2.562,2.562,2.976
11.0,Lower,Upper,340,4.622,3.555,3.068,3.586,3.586,4.488
11.0,Medium,Lower,361,38.12,38.123,4.229,38.13,38.13,38.12
11.0,Medium,Medium,364,72.045,50.853,6.985,50.989,50.989,69.529
11.0,Medium,Upper,367,57.68,32.482,10.604,32.761,32.761,57.899
11.0,Upper,Lower,388,inf,inf,143.325,inf,inf,inf
11.0,Upper,Medium,391,inf,inf,112.064,inf,inf,inf
11.0,Upper,Upper,394,inf,inf,56.679,inf,inf,inf
